Attrition,Business Travel,CF_age band,CF_attrition label,Department,Education Field,emp no,Employee Number,Gender,Job Role,Marital Status,Over Time,Over18,Training Times Last Year,Age,CF_current Employee,Daily Rate,Distance From Home,Education,Employee Count,Environment Satisfaction,Hourly Rate,Job Involvement,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
No,Travel_Rarely,41-45,Current Employees,Sales,Medical,E0119,119,Female,HR Manager,Married,Yes,Yes,2,40,No,1210,22,3,1,1,23,2,4,4,8644,29003,5,16,4,1,80,2,10,1,1,3,5,9
Yes,Travel_Frequently,46-50,Ex-Employees,R&D,Other,E0120,120,Female,Research Scientist,Married,Yes,Yes,4,45,No,1076,3,4,1,4,50,1,2,1,9454,21093,3,19,4,1,80,0,4,2,4,7,5,7
No,Travel_Frequently,41-45,Ex-Employees,Sales,Life Sciences,E0121,121,Male,Research Scientist,Married,No,Yes,3,28,No,1445,18,5,1,1,22,2,1,1,4836,20847,1,19,4,1,80,1,9,2,8,1,4,9
No,Travel_Rarely,26-30,Current Employees,HR,Life Sciences,E0122,122,Male,Research Scientist,Single,No,Yes,1,44,No,1147,2,5,1,3,48,2,4,3,8934,29378,5,8,4,4,80,1,7,2,5,6,4,3
No,Travel_Rarely,41-45,Ex-Employees,Sales,Life Sciences,E0123,123,Male,Research Scientist,Married,Yes,Yes,4,32,Yes,1226,11,3,1,1,30,1,4,2,9340,27049,3,14,2,2,80,1,18,3,3,4,5,2
No,Travel_Frequently,26-30,Ex-Employees,R&D,Other,E0124,124,Male,Research Scientist,Married,No,Yes,3,27,Yes,1343,3,5,1,2,37,2,3,3,5028,22796,5,15,1,4,80,0,2,1,5,7,2,7
No,Travel_Rarely,26-30,Current Employees,R&D,Other,E0125,125,Female,HR Manager,Divorced,No,Yes,1,31,No,1440,26,4,1,1,28,3,2,2,7123,21771,3,19,4,1,80,1,13,3,4,7,3,8
Yes,Travel_Rarely,31-35,Current Employees,R&D,Life Sciences,E0126,126,Male,HR Manager,Single,Yes,Yes,5,45,Yes,1230,22,1,1,4,49,1,3,2,9610,24078,4,9,3,4,80,1,12,1,5,8,2,4
No,Travel_Frequently,31-35,Current Employees,Sales,Medical,E0127,127,Female,HR Manager,Married,No,Yes,2,33,No,1395,18,2,1,1,41,1,1,3,7822,21449,2,10,4,3,80,0,8,2,10,3,5,8
No,Travel_Rarely,46-50,Current Employees,R&D,Other,E0128,128,Male,Research Scientist,Divorced,No,Yes,2,42,Yes,1050,5,2,1,4,35,3,1,3,6359,25891,3,10,4,1,80,3,5,3,3,7,0,7
No,Travel_Frequently,46-50,Current Employees,R&D,Life Sciences,E0129,129,Female,HR Manager,Divorced,Yes,Yes,1,34,No,1114,15,4,1,1,47,3,3,1,8548,23845,4,12,4,2,80,2,10,4,8,5,5,5
No,Travel_Frequently,36-40,Ex-Employees,Sales,Medical,E0130,130,Male,Research Scientist,Married,Yes,Yes,4,26,Yes,1233,1,4,1,2,34,3,1,4,7480,29527,4,16,1,2,80,1,1,2,4,8,3,9
Yes,Travel_Rarely,36-40,Current Employees,HR,Life Sciences,E0131,131,Male,HR Manager,Single,Yes,Yes,2,32,No,1303,5,2,1,4,44,1,2,2,7490,22114,3,12,3,4,80,1,18,3,8,1,1,3
No,Travel_Rarely,46-50,Ex-Employees,R&D,Other,E0132,132,Male,Sales Executive,Divorced,Yes,Yes,2,27,Yes,1011,12,2,1,4,38,3,4,3,5377,23140,5,19,3,3,80,3,10,1,6,6,0,7
No,Travel_Frequently,31-35,Current Employees,HR,Medical,E0133,133,Male,Sales Executive,Single,Yes,Yes,1,26,Yes,1494,25,5,1,4,22,2,1,1,3406,25010,2,9,3,1,80,0,18,2,3,6,5,7
Yes,Travel_Frequently,26-30,Ex-Employees,HR,Medical,E0134,134,Female,Research Scientist,Divorced,No,Yes,1,29,No,1229,1,2,1,3,35,3,1,4,9329,24770,1,19,4,1,80,2,9,3,10,4,2,1
Yes,Travel_Frequently,36-40,Ex-Employees,R&D,Other,E0135,135,Male,HR Manager,Divorced,Yes,Yes,5,35,No,1304,11,1,1,4,46,1,5,4,4414,29456,2,5,1,2,80,1,20,4,2,3,0,5
No,Travel_Rarely,31-35,Ex-Employees,Sales,Other,E0136,136,Female,Sales Executive,Single,Yes,Yes,1,47,No,1434,5,5,1,3,43,2,3,4,5640,28363,2,10,1,1,80,0,14,1,10,2,4,9
Yes,Travel_Rarely,26-30,Ex-Employees,HR,Other,E0137,137,Male,Research Scientist,Divorced,No,Yes,1,41,No,1337,15,3,1,1,39,1,2,2,6764,24713,3,12,4,2,80,3,10,4,10,1,5,9
Yes,Travel_Frequently,36-40,Current Employees,Sales,Medical,E0138,138,Male,Sales Executive,Married,Yes,Yes,3,31,Yes,1488,1,2,1,3,35,1,1,2,3378,23044,3,16,3,4,80,1,12,2,4,10,1,1
Yes,Travel_Rarely,31-35,Current Employees,R&D,Life Sciences,E0139,139,Female,Sales Executive,Married,No,Yes,4,38,No,1171,17,4,1,4,48,4,5,1,9514,29245,3,12,1,2,80,1,13,4,1,8,1,9
Yes,Travel_Rarely,46-50,Current Employees,R&D,Life Sciences,E0140,140,Male,Research Scientist,Divorced,No,Yes,3,28,Yes,1280,3,1,1,2,31,2,3,2,9124,23260,2,20,2,3,80,2,16,2,10,5,1,4
No,Travel_Frequently,31-35,Ex-Employees,R&D,Life Sciences,E0141,141,Male,Sales Executive,Married,Yes,Yes,1,27,No,1269,18,5,1,3,38,3,1,1,8628,27941,4,8,1,3,80,2,9,2,5,3,4,10
No,Travel_Frequently,36-40,Ex-Employees,R&D,Other,E0142,142,Male,Sales Executive,Single,No,Yes,5,33,Yes,1115,4,1,1,1,20,2,4,1,3210,28672,1,8,1,1,80,3,9,3,8,10,0,9
Yes,Travel_Rarely,26-30,Ex-Employees,R&D,Other,E0143,143,Male,Research Scientist,Single,No,Yes,4,37,No,1312,26,3,1,3,26,1,5,2,3164,25659,2,5,3,2,80,2,3,4,3,3,2,7
Yes,Travel_Rarely,36-40,Current Employees,R&D,Life Sciences,E0144,144,Male,Research Scientist,Married,Yes,Yes,3,44,No,1143,9,5,1,1,30,3,1,1,7167,29766,2,18,2,1,80,0,16,4,3,5,5,1
No,Travel_Rarely,41-45,Current Employees,Sales,Other,E0145,145,Female,Research Scientist,Married,Yes,Yes,3,39,Yes,1175,30,2,1,4,35,1,4,2,4660,24134,1,13,2,2,80,0,15,3,7,9,3,4
Yes,Travel_Rarely,46-50,Ex-Employees,R&D,Other,E0146,146,Male,Sales Executive,Married,Yes,Yes,4,38,Yes,1147,14,3,1,2,33,1,2,2,7428,23995,2,5,4,1,80,0,12,3,9,1,1,9
No,Travel_Frequently,41-45,Ex-Employees,HR,Life Sciences,E0147,147,Female,HR Manager,Single,No,Yes,1,38,Yes,1370,28,4,1,3,24,2,1,2,6813,24634,1,8,4,3,80,0,18,2,3,2,4,8
No,Travel_Frequently,36-40,Ex-Employees,HR,Life Sciences,E0148,148,Male,Research Scientist,Divorced,Yes,Yes,4,43,No,1294,10,1,1,2,21,3,4,3,5050,21947,5,12,2,3,80,2,18,1,4,5,4,9
No,Travel_Frequently,36-40,Current Employees,R&D,Other,E0149,149,Male,HR Manager,Married,No,Yes,3,35,Yes,1379,18,1,1,2,28,4,4,3,6461,21653,4,12,2,1,80,3,15,1,1,5,4,8
No,Travel_Frequently,31-35,Current Employees,Sales,Medical,E0150,150,Male,HR Manager,Married,Yes,Yes,2,46,Yes,1447,22,1,1,4,32,3,1,4,5472,26764,1,13,1,4,80,0,1,1,5,4,1,2
Yes,Travel_Rarely,31-35,Ex-Employees,R&D,Other,E0151,151,Male,Sales Executive,Single,Yes,Yes,4,37,No,1048,6,5,1,3,31,2,3,2,4377,27129,4,15,1,1,80,2,8,2,7,2,4,5
Yes,Travel_Rarely,41-45,Ex-Employees,R&D,Medical,E0152,152,Female,Research Scientist,Divorced,Yes,Yes,5,29,No,1340,22,1,1,3,37,4,4,2,5097,24597,4,10,4,1,80,2,8,4,9,6,0,4
Yes,Travel_Frequently,31-35,Current Employees,R&D,Medical,E0153,153,Female,Sales Executive,Single,Yes,Yes,3,49,Yes,1406,6,1,1,1,20,2,2,3,9155,28526,3,9,1,2,80,0,6,4,4,7,1,7
No,Travel_Rarely,31-35,Current Employees,R&D,Medical,E0154,154,Male,Research Scientist,Married,No,Yes,3,28,Yes,1040,21,2,1,2,44,3,2,3,9335,26152,1,18,2,1,80,2,18,1,5,2,5,6
Yes,Travel_Rarely,41-45,Ex-Employees,Sales,Medical,E0155,155,Male,Research Scientist,Single,Yes,Yes,2,47,Yes,1293,22,2,1,4,20,3,5,3,7476,22599,2,19,4,3,80,2,9,2,4,9,5,5
No,Travel_Frequently,31-35,Current Employees,HR,Medical,E0156,156,Female,HR Manager,Divorced,Yes,Yes,2,34,No,1040,22,2,1,2,49,1,4,4,8130,20694,4,18,3,3,80,3,13,1,7,5,2,7
No,Travel_Rarely,41-45,Ex-Employees,HR,Other,E0157,157,Female,Sales Executive,Single,No,Yes,2,36,Yes,1208,13,2,1,3,50,1,5,3,4802,23381,4,5,2,1,80,0,17,3,4,1,0,3
No,Travel_Rarely,26-30,Ex-Employees,HR,Life Sciences,E0158,158,Female,HR Manager,Single,No,Yes,2,33,No,1172,23,2,1,4,43,2,4,2,4960,21443,4,15,2,4,80,0,11,4,2,2,4,8
Yes,Travel_Rarely,41-45,Current Employees,HR,Medical,E0159,159,Male,Sales Executive,Divorced,No,Yes,1,39,Yes,1182,12,3,1,4,32,1,2,2,5467,28757,4,19,1,4,80,2,3,3,8,6,3,8
No,Travel_Frequently,31-35,Ex-Employees,HR,Medical,E0160,160,Male,HR Manager,Married,No,Yes,4,34,No,1094,4,3,1,3,22,4,5,4,6956,23910,1,13,3,3,80,2,13,2,5,10,0,4
Yes,Travel_Rarely,46-50,Current Employees,HR,Medical,E0161,161,Male,Research Scientist,Single,Yes,Yes,5,45,No,1392,9,1,1,4,35,1,5,3,7465,23756,4,8,3,3,80,1,19,2,1,8,0,5
Yes,Travel_Frequently,46-50,Current Employees,Sales,Other,E0162,162,Female,Research Scientist,Single,Yes,Yes,5,41,Yes,1375,29,2,1,3,38,3,4,1,8630,24368,5,19,2,3,80,1,16,4,10,1,0,3
No,Travel_Frequently,41-45,Current Employees,R&D,Life Sciences,E0163,163,Male,Research Scientist,Divorced,No,Yes,3,45,Yes,1446,14,1,1,4,32,3,5,2,5487,24972,1,11,3,2,80,3,6,1,6,6,5,3
Yes,Travel_Rarely,46-50,Current Employees,Sales,Medical,E0164,164,Female,Sales Executive,Married,Yes,Yes,1,37,Yes,1208,11,3,1,1,32,1,2,1,5467,29146,3,20,3,3,80,3,2,3,3,1,1,4
No,Travel_Frequently,46-50,Current Employees,Sales,Medical,E0165,165,Female,Research Scientist,Divorced,No,Yes,3,48,Yes,1490,25,1,1,2,22,4,5,4,7599,20605,5,15,4,1,80,0,8,2,1,3,2,8
No,Travel_Frequently,31-35,Ex-Employees,Sales,Other,E0166,166,Female,Sales Executive,Married,Yes,Yes,5,45,No,1174,27,4,1,3,38,3,5,2,5907,26303,3,15,3,3,80,2,5,3,10,10,1,5
Yes,Travel_Rarely,26-30,Ex-Employees,Sales,Medical,E0167,167,Female,HR Manager,Married,No,Yes,4,50,No,1285,5,5,1,4,33,1,5,1,5192,28206,1,15,2,2,80,0,15,4,7,9,0,2
Yes,Travel_Rarely,26-30,Ex-Employees,Sales,Life Sciences,E0168,168,Female,HR Manager,Single,No,Yes,1,43,Yes,1329,2,3,1,4,41,2,2,3,9528,24508,3,15,2,2,80,0,9,4,5,8,5,10
No,Travel_Rarely,31-35,Ex-Employees,Sales,Life Sciences,E0169,169,Male,HR Manager,Married,Yes,Yes,1,29,No,1260,26,3,1,4,28,1,3,3,8788,23000,4,15,1,4,80,3,9,1,9,8,1,10
Yes,Travel_Rarely,26-30,Current Employees,R&D,Medical,E0170,170,Male,Research Scientist,Married,Yes,Yes,5,45,No,1132,25,4,1,4,24,2,5,4,4392,20346,3,14,1,4,80,2,3,3,9,3,1,10
No,Travel_Rarely,41-45,Current Employees,Sales,Other,E0171,171,Female,Sales Executive,Single,Yes,Yes,3,48,No,1032,28,5,1,3,39,1,4,2,8552,29534,5,9,4,4,80,2,8,4,3,10,0,7
Yes,Travel_Frequently,26-30,Ex-Employees,Sales,Life Sciences,E0172,172,Male,Research Scientist,Single,No,Yes,4,30,No,1263,15,2,1,3,29,2,2,4,8999,29757,1,10,4,4,80,2,11,4,5,6,1,4
No,Travel_Frequently,46-50,Current Employees,HR,Other,E0173,173,Female,Research Scientist,Married,Yes,Yes,1,45,Yes,1140,5,5,1,2,49,1,5,1,8626,20908,3,11,3,4,80,1,3,3,10,9,4,2
Yes,Travel_Frequently,31-35,Ex-Employees,HR,Life Sciences,E0174,174,Male,Research Scientist,Married,Yes,Yes,3,46,Yes,1110,7,4,1,4,20,1,2,3,6404,29572,3,7,4,1,80,1,3,2,5,7,5,7
No,Travel_Rarely,36-40,Current Employees,R&D,Life Sciences,E0175,175,Male,Sales Executive,Married,No,Yes,1,41,Yes,1214,19,5,1,1,26,3,1,3,5933,23940,4,7,2,2,80,2,7,3,9,3,1,9
Yes,Travel_Frequently,46-50,Ex-Employees,Sales,Medical,E0176,176,Male,Sales Executive,Divorced,No,Yes,3,44,Yes,1390,11,4,1,4,37,4,3,4,8501,23043,2,20,4,1,80,2,9,1,6,1,0,2
No,Travel_Frequently,46-50,Current Employees,HR,Life Sciences,E0177,177,Male,Research Scientist,Single,Yes,Yes,2,28,No,1020,16,4,1,1,42,3,1,3,7837,22925,1,17,1,4,80,3,3,4,6,9,3,10
Yes,Travel_Rarely,41-45,Ex-Employees,Sales,Medical,E0178,178,Male,Research Scientist,Married,Yes,Yes,3,35,Yes,1491,9,2,1,1,45,1,5,1,3919,24956,3,13,3,1,80,2,10,2,2,7,4,6
Yes,Travel_Frequently,36-40,Ex-Employees,HR,Life Sciences,E0179,179,Female,Sales Executive,Married,Yes,Yes,5,37,No,1413,8,2,1,4,47,2,2,2,8414,29588,2,20,2,3,80,3,3,4,7,4,1,4
Yes,Travel_Rarely,41-45,Ex-Employees,HR,Life Sciences,E0180,180,Male,Research Scientist,Single,Yes,Yes,4,44,Yes,1209,1,5,1,1,37,3,5,3,3802,22589,2,17,2,4,80,2,17,4,7,9,4,6
No,Travel_Rarely,31-35,Ex-Employees,HR,Life Sciences,E0181,181,Female,Sales Executive,Married,Yes,Yes,1,46,No,1324,13,2,1,3,49,3,5,2,5945,27737,4,19,1,4,80,2,18,2,6,8,2,10
Yes,Travel_Rarely,36-40,Current Employees,HR,Medical,E0182,182,Female,HR Manager,Married,Yes,Yes,3,38,No,1365,2,3,1,1,46,3,4,2,9006,25498,3,15,3,2,80,1,20,2,8,3,2,10
No,Travel_Rarely,31-35,Ex-Employees,Sales,Life Sciences,E0183,183,Male,HR Manager,Married,No,Yes,5,31,No,1381,17,5,1,3,42,2,3,3,8050,26106,1,16,2,4,80,2,18,4,2,9,2,6
Yes,Travel_Frequently,26-30,Current Employees,R&D,Life Sciences,E0184,184,Male,Research Scientist,Married,Yes,Yes,4,41,No,1425,29,1,1,3,45,3,4,2,7280,20253,5,7,1,3,80,1,14,3,6,2,2,3
No,Travel_Frequently,46-50,Current Employees,HR,Other,E0185,185,Male,Sales Executive,Divorced,No,Yes,3,37,No,1244,2,5,1,2,42,3,3,2,9190,23313,5,14,2,2,80,0,17,3,9,9,0,6
Yes,Travel_Frequently,26-30,Ex-Employees,HR,Other,E0186,186,Male,Sales Executive,Married,No,Yes,3,28,No,1383,12,3,1,2,42,4,2,2,4411,29672,4,6,2,2,80,1,5,1,8,3,4,10
Yes,Travel_Frequently,31-35,Ex-Employees,R&D,Life Sciences,E0187,187,Female,Research Scientist,Married,Yes,Yes,1,49,Yes,1162,30,1,1,2,31,2,3,4,6496,25033,2,6,1,4,80,0,13,1,10,7,4,6
Yes,Travel_Frequently,41-45,Current Employees,Sales,Medical,E0188,188,Male,Research Scientist,Single,No,Yes,2,36,Yes,1465,8,5,1,4,31,1,3,3,9028,27480,1,10,3,1,80,2,11,4,8,5,2,8
Yes,Travel_Rarely,46-50,Ex-Employees,HR,Other,E0189,189,Female,Sales Executive,Divorced,Yes,Yes,1,40,Yes,1387,12,4,1,3,26,4,4,1,3405,29271,4,17,1,3,80,0,4,4,1,2,3,7
Yes,Travel_Frequently,46-50,Current Employees,R&D,Medical,E0190,190,Male,HR Manager,Single,No,Yes,2,38,Yes,1318,12,4,1,1,24,2,2,4,5368,22888,4,6,2,4,80,0,14,3,1,9,3,6
No,Travel_Rarely,36-40,Ex-Employees,Sales,Life Sciences,E0191,191,Female,Research Scientist,Married,No,Yes,4,36,Yes,1332,3,1,1,3,50,1,3,4,4811,21843,3,18,4,1,80,2,9,1,6,6,1,5
Yes,Travel_Frequently,26-30,Ex-Employees,Sales,Other,E0192,192,Female,Sales Executive,Single,Yes,Yes,1,33,No,1431,28,1,1,2,28,1,3,2,7781,21937,5,16,3,3,80,3,10,3,7,9,3,2
Yes,Travel_Frequently,31-35,Current Employees,Sales,Medical,E0193,193,Male,HR Manager,Divorced,Yes,Yes,5,48,Yes,1479,21,2,1,4,48,2,1,4,5560,22579,1,6,2,1,80,2,11,2,3,6,3,10
No,Travel_Frequently,31-35,Current Employees,Sales,Medical,E0194,194,Female,Research Scientist,Married,Yes,Yes,5,49,Yes,1392,1,5,1,3,35,1,3,3,9930,28743,3,8,4,1,80,1,3,4,7,3,5,9
Yes,Travel_Frequently,31-35,Current Employees,Sales,Other,E0195,195,Female,HR Manager,Married,Yes,Yes,5,41,Yes,1302,26,3,1,2,39,3,5,3,5751,28372,3,7,2,1,80,1,19,1,10,1,2,7
Yes,Travel_Frequently,31-35,Ex-Employees,HR,Life Sciences,E0196,196,Male,HR Manager,Married,No,Yes,5,46,Yes,1156,5,1,1,2,36,4,5,3,5487,23725,3,20,1,2,80,0,7,2,8,5,4,5
Yes,Travel_Rarely,41-45,Current Employees,HR,Life Sciences,E0197,197,Female,Research Scientist,Married,Yes,Yes,2,29,No,1108,2,1,1,2,20,3,4,2,7561,20539,4,12,3,4,80,3,6,1,3,5,4,6
No,Travel_Rarely,31-35,Ex-Employees,Sales,Other,E0198,198,Male,Sales Executive,Divorced,No,Yes,3,41,Yes,1013,1,2,1,2,48,4,3,2,7249,23705,4,15,4,4,80,3,1,1,4,3,2,1
Yes,Travel_Frequently,41-45,Current Employees,R&D,Medical,E0199,199,Female,Sales Executive,Married,Yes,Yes,4,37,No,1500,3,5,1,3,30,3,2,2,9833,24350,3,20,4,2,80,0,9,1,10,7,1,5
Yes,Travel_Frequently,41-45,Ex-Employees,Sales,Other,E0200,200,Female,Sales Executive,Single,Yes,Yes,5,26,Yes,1481,17,2,1,2,46,2,1,3,6717,23920,3,6,2,4,80,3,7,2,2,2,0,6
No,Travel_Rarely,36-40,Current Employees,HR,Other,E0201,201,Male,HR Manager,Married,Yes,Yes,4,28,No,1348,25,1,1,4,49,1,1,3,8000,24881,5,20,3,3,80,1,7,3,8,3,3,2
Yes,Travel_Rarely,36-40,Ex-Employees,R&D,Other,E0202,202,Female,HR Manager,Single,Yes,Yes,1,40,No,1153,25,4,1,4,33,1,4,3,8698,26222,1,5,1,4,80,2,15,1,1,10,3,10
No,Travel_Frequently,26-30,Current Employees,HR,Life Sciences,E0203,203,Female,HR Manager,Married,No,Yes,2,39,No,1461,24,1,1,1,27,2,4,2,7198,24503,3,17,4,3,80,3,18,2,9,5,2,5
Yes,Travel_Frequently,31-35,Ex-Employees,HR,Life Sciences,E0204,204,Male,Research Scientist,Married,Yes,Yes,2,32,Yes,1347,22,2,1,2,23,3,3,3,4735,23428,2,9,4,1,80,2,14,4,1,9,2,1
Yes,Travel_Frequently,41-45,Current Employees,R&D,Medical,E0205,205,Female,Research Scientist,Divorced,No,Yes,2,39,Yes,1029,26,3,1,2,37,2,4,4,7154,26657,1,15,3,1,80,3,10,2,1,9,2,1
No,Travel_Frequently,36-40,Current Employees,Sales,Other,E0206,206,Female,Research Scientist,Divorced,No,Yes,3,40,Yes,1007,14,5,1,4,39,3,1,3,6617,29687,2,15,3,3,80,1,3,3,10,2,0,7
No,Travel_Rarely,31-35,Current Employees,Sales,Other,E0207,207,Female,HR Manager,Divorced,No,Yes,3,38,No,1474,17,2,1,2,31,3,1,1,6824,28139,4,6,1,2,80,2,17,1,8,2,2,7
Yes,Travel_Rarely,36-40,Ex-Employees,HR,Other,E0208,208,Female,Research Scientist,Single,Yes,Yes,2,44,No,1002,29,3,1,4,46,2,5,1,7374,24110,5,12,2,1,80,2,15,2,3,7,1,1
Yes,Travel_Rarely,36-40,Ex-Employees,R&D,Other,E0209,209,Male,Research Scientist,Single,No,Yes,3,40,No,1458,28,4,1,4,31,4,4,2,8001,23585,3,13,1,1,80,0,2,4,8,7,5,10
Yes,Travel_Rarely,26-30,Current Employees,R&D,Life Sciences,E0210,210,Male,HR Manager,Single,No,Yes,4,27,No,1388,20,3,1,1,26,4,4,4,9483,20689,4,11,3,4,80,0,7,1,9,6,0,7
No,Travel_Rarely,41-45,Ex-Employees,HR,Life Sciences,E0211,211,Male,HR Manager,Married,No,Yes,4,49,No,1445,6,3,1,3,30,2,1,2,7790,20017,1,9,1,2,80,1,19,3,5,5,4,5
No,Travel_Rarely,41-45,Ex-Employees,R&D,Medical,E0212,212,Female,HR Manager,Married,Yes,Yes,4,41,No,1377,13,5,1,2,26,2,3,1,9242,29353,4,17,3,4,80,3,14,1,9,3,2,8
Yes,Travel_Frequently,36-40,Ex-Employees,HR,Medical,E0213,213,Male,Sales Executive,Married,Yes,Yes,4,45,No,1218,3,5,1,3,39,4,1,2,5428,26416,5,12,1,2,80,0,8,1,3,8,4,5
Yes,Travel_Frequently,31-35,Current Employees,R&D,Other,E0214,214,Male,Research Scientist,Married,Yes,Yes,1,34,Yes,1435,12,3,1,1,48,1,3,3,6397,24427,2,8,4,4,80,1,7,3,7,5,5,8
Yes,Travel_Rarely,41-45,Current Employees,Sales,Medical,E0215,215,Male,Research Scientist,Divorced,Yes,Yes,1,38,No,1194,18,2,1,3,29,1,3,4,3327,21670,4,11,1,1,80,0,13,1,3,9,1,9
Yes,Travel_Rarely,26-30,Current Employees,HR,Other,E0216,216,Female,HR Manager,Married,No,Yes,2,26,No,1028,3,1,1,2,33,4,4,3,9281,20453,1,5,1,1,80,2,2,2,7,1,2,2
Yes,Travel_Rarely,41-45,Current Employees,R&D,Life Sciences,E0217,217,Male,HR Manager,Single,No,Yes,5,37,Yes,1440,25,1,1,1,24,3,4,3,9608,21820,1,17,1,4,80,3,6,3,4,9,3,7
No,Travel_Rarely,26-30,Ex-Employees,R&D,Life Sciences,E0218,218,Male,Sales Executive,Single,No,Yes,3,30,No,1202,23,2,1,2,26,2,3,3,6038,29673,3,10,3,2,80,2,14,3,7,4,5,7
Yes,Travel_Frequently,31-35,Ex-Employees,R&D,Life Sciences,E0219,219,Female,Research Scientist,Married,Yes,Yes,3,36,Yes,1340,3,4,1,3,37,4,5,4,4881,29130,4,6,4,4,80,0,16,2,7,6,2,10
No,Travel_Frequently,36-40,Current Employees,HR,Medical,E0220,220,Male,HR Manager,Divorced,Yes,Yes,2,37,No,1196,6,2,1,1,40,1,2,4,5085,29337,1,18,3,4,80,3,16,2,9,6,0,4
Yes,Travel_Rarely,31-35,Current Employees,R&D,Other,E0221,221,Male,Sales Executive,Divorced,Yes,Yes,3,36,Yes,1184,24,1,1,4,37,2,2,3,4206,20167,1,19,2,3,80,0,19,2,8,2,1,7
Yes,Travel_Rarely,31-35,Current Employees,R&D,Medical,E0222,222,Female,Research Scientist,Divorced,Yes,Yes,4,45,Yes,1014,9,5,1,4,47,4,4,4,3333,28302,5,6,2,2,80,3,1,3,4,9,2,10
Yes,Travel_Frequently,26-30,Current Employees,R&D,Other,E0223,223,Female,HR Manager,Divorced,Yes,Yes,3,28,Yes,1454,20,5,1,4,41,1,4,1,3217,23031,5,9,3,2,80,3,14,1,2,4,2,10
No,Travel_Rarely,31-35,Current Employees,HR,Medical,E0224,224,Female,Research Scientist,Married,No,Yes,2,31,No,1349,7,5,1,3,23,1,4,2,3159,23317,2,9,2,1,80,3,19,3,1,1,1,1
No,Travel_Frequently,36-40,Current Employees,HR,Life Sciences,E0225,225,Female,Sales Executive,Divorced,Yes,Yes,3,28,Yes,1087,25,5,1,2,34,1,4,3,6652,22957,1,19,1,1,80,3,7,3,1,10,1,1
No,Travel_Frequently,41-45,Current Employees,Sales,Medical,E0226,226,Male,Research Scientist,Divorced,Yes,Yes,2,28,No,1066,27,5,1,1,22,4,3,3,7084,23360,3,14,4,1,80,0,19,4,7,10,0,6
Yes,Travel_Rarely,26-30,Current Employees,HR,Life Sciences,E0227,227,Male,Sales Executive,Married,No,Yes,3,27,No,1182,25,3,1,2,38,4,4,4,7350,21521,1,15,3,1,80,1,15,3,6,5,5,7
Yes,Travel_Rarely,26-30,Current Employees,HR,Other,E0228,228,Female,HR Manager,Single,No,Yes,4,26,No,1286,5,4,1,3,38,2,3,4,5632,23247,2,12,3,4,80,2,17,3,3,2,5,9
No,Travel_Frequently,31-35,Ex-Employees,HR,Life Sciences,E0229,229,Female,Sales Executive,Married,Yes,Yes,5,26,Yes,1323,24,5,1,3,28,4,3,4,5176,26097,4,5,4,1,80,1,11,1,1,2,0,6
No,Travel_Frequently,31-35,Current Employees,Sales,Medical,E0230,230,Female,HR Manager,Single,Yes,Yes,1,31,No,1093,25,4,1,3,36,4,5,4,5443,20072,3,14,4,2,80,0,17,2,10,9,4,2
No,Travel_Rarely,31-35,Current Employees,Sales,Other,E0231,231,Female,Sales Executive,Married,No,Yes,1,28,No,1020,21,4,1,1,48,3,1,3,7113,26788,3,18,3,1,80,3,13,4,5,5,4,4
No,Travel_Frequently,46-50,Ex-Employees,R&D,Medical,E0232,232,Female,Research Scientist,Divorced,Yes,Yes,4,31,No,1182,8,3,1,4,34,3,4,4,4577,20263,1,19,4,4,80,2,16,1,2,5,4,9
Yes,Travel_Rarely,36-40,Ex-Employees,HR,Medical,E0233,233,Female,HR Manager,Divorced,Yes,Yes,3,38,No,1335,10,4,1,3,21,2,1,3,6879,27646,5,13,4,3,80,0,4,3,7,6,0,3
Yes,Travel_Rarely,31-35,Current Employees,R&D,Medical,E0234,234,Female,Sales Executive,Divorced,No,Yes,2,27,No,1410,13,2,1,2,41,1,3,4,3379,24555,4,18,4,4,80,2,10,3,7,5,0,5
Yes,Travel_Frequently,46-50,Ex-Employees,R&D,Life Sciences,E0235,235,Male,Research Scientist,Single,No,Yes,3,33,Yes,1446,23,1,1,3,40,1,5,4,4135,23332,5,20,1,1,80,0,10,3,8,5,5,7
No,Travel_Frequently,26-30,Ex-Employees,R&D,Other,E0236,236,Male,Research Scientist,Single,No,Yes,4,33,No,1057,19,5,1,4,34,2,1,2,3267,25045,4,17,2,3,80,3,9,1,7,4,5,7
No,Travel_Rarely,36-40,Current Employees,HR,Medical,E0237,237,Female,Sales Executive,Married,No,Yes,2,28,No,1248,16,5,1,3,36,4,5,2,8597,20706,1,5,1,4,80,1,20,3,7,3,0,7
Yes,Travel_Rarely,46-50,Ex-Employees,HR,Life Sciences,E0238,238,Male,Research Scientist,Single,No,Yes,5,38,Yes,1347,18,5,1,1,42,2,3,4,3801,20721,2,19,4,3,80,0,15,4,7,3,1,9
